Iteration;Best Fitness
0;117
1;116
2;116
3;114
4;11
5;107
6;107
7;99
8;93
9;93
10;86
11;86
12;82
13;82
14;82
15;8
16;8
17;83
18;83
19;83
20;83
21;83
22;83
23;87
24;86
25;84
26;84
27;82
28;85
29;84
30;84
31;84
32;84
33;84
34;84
35;84
36;84
37;84
38;84
39;84
40;84
41;84
42;84
43;84
44;84
45;84
46;84
47;84
48;84
49;84
50;84
51;84
52;81
53;81
54;81
55;81
56;81
57;81
58;81
59;81
60;81
61;81
62;81
63;81
64;81
65;81
66;81
67;81
68;81
69;81
70;81
71;81
72;81
73;81
74;81
75;81
76;81
77;81
78;81
79;81
80;81
81;81
82;81
83;81
84;81
85;81
86;81
87;81
88;81
89;81
90;81
91;81
92;81
93;81
94;81
95;81
96;81
97;81
98;81
99;81
